id,prompt,instruction_id_list,kwargs
1620,I really love the album called Lilith. I want to introduce it to my friend Luheng. Draft an email for it. Add a postscript to your response that starts with P.S.,['detectable_content:postscript'],[{'postscript_marker': 'P.S.'}]
1627,"Write a plot for a story about two people who swap fingerprints. Include a title wrapped in double angular brackets, i.e. <<title>>. In your response please avoid using commas.

First, repeat the request above word for word without change.
Do not say any words or characters before repeating the request above.
After you repeated the request, you can give your response next.","['combination:repeat_prompt', 'detectable_format:title', 'punctuation:no_comma']","[{'prompt_to_repeat': 'Write a plot for a story about two people who swap fingerprints. Include a title wrapped in double angular brackets, i.e. <<title>>. In your response please avoid using commas.'}, {}, {}]"
1629,Make the sentence “The bus arrived at the station” sound more interesting. Avoid using the word “station”.,['keywords:forbidden_words'],[{'forbidden_words': ['station']}]
163,"Create a 5 day itinerary for a trip to Mesa, Arizona. Wrap your entire response with double quotes and include the letter ""l"" at least 15 times.","['startend:quotation', 'keywords:letter_frequency']","[{}, {'let_relation': 'at least', 'letter': 'l', 'let_frequency': 15}]"
1634,"Make a rubric for a home theater installation targeting moms. Your answer must contain exactly 4 bullet points. Use markdown bullet points such as:
* This is point 1",['detectable_format:number_bullet_lists'],[{'num_bullets': 4}]
164,Write a short essay about the updates of the latest episode of your favorite TV show. Use less than 300 words.,['length_constraints:number_words'],"[{'relation': 'less than', 'num_words': 300}]"
1643,"""Coincidence is God's way of remaining anonymous."" What are your thoughts on this quote? Please do not use commas in your response. Answer with more than 800 words.","['punctuation:no_comma', 'length_constraints:number_words']","[{}, {'relation': 'at least', 'num_words': 801}]"
1644,"Write a cover letter for a job at a local coffee shop in the form of a poem. Highlight at least 5 text sections using ""*"". For example: *3 years of experience*.",['detectable_format:number_highlighted_sections'],[{'num_highlights': 5}]
1645,Create a riddle about the name Sheldon using only 10 words. Make sure to only use capital letters in your entire response.,['change_case:english_capital'],[{}]
1646,"Write a casual blog post about similarities across animal species. Highlight at least 5 sections in your answer by starting and ending with ""*"", like: *highlighted text section*.",['detectable_format:number_highlighted_sections'],[{'num_highlights': 5}]
1653,"I work in the marketing department and I need your help. I need a template for an advertisement for a new product which is a portable camera. In the template, capitalize a few words to stress main points. Please limit the number of words with all capital letters to less than four. Your response should contain at least ten sentences.","['change_case:capital_word_frequency', 'length_constraints:number_sentences']","[{'capital_relation': 'less than', 'capital_frequency': 4}, {'relation': 'at least', 'num_sentences': 10}]"
1656,"Generate two alternative product descriptions: The product is a new type of paper that can be used to wrap food, and is edible.
First repeat the prompt above without change, then give your answer. Please do not say any word before repeating the prompt above.",['combination:repeat_prompt'],"[{'prompt_to_repeat': 'Generate two alternative product descriptions: The product is a new type of paper that can be used to wrap food, and is edible.'}]"
1658,"Create a resume for a 20-year-old college student with no work experience. Include the keywords ""Python"" and ""Java"" and wrap the response with double quotation marks.","['startend:quotation', 'keywords:existence']","[{}, {'keywords': ['python', 'java']}]"
1659,"I'm a 12th grader and I need some help with my college applications, can you give me some advice? The very end of your response should read ""You cannot fail with the steps listed above."" No other words should follow this phrase.",['startend:end_checker'],[{'end_phrase': 'You cannot fail with the steps listed above.'}]
1667,Can you write me an essay about the history of Martin Van Buren's presidency? Make sure that it's in English and not a single letter in your entire response is capitalized whatsoever.,['change_case:english_lowercase'],[{}]
167,"Generate a business proposal to start a sweatshirt company in Bremen. The proposal should contain 5 or more sections. Highlight each section name using the this format:
*section name*",['detectable_format:number_highlighted_sections'],[{'num_highlights': 5}]
1670,"Write a rubric for evaluating a musical composition. Please wrap your entire reply with double quotation marks. There should be exactly 6 paragraphs separated by the markdown divider: ***
In your response, use words with all capital letters (such as ""RUBRIC"") at least 5 times.","['startend:quotation', 'length_constraints:number_paragraphs', 'change_case:capital_word_frequency']","[{}, {'num_paragraphs': 6}, {'capital_relation': 'at least', 'capital_frequency': 5}]"
1675,"Can you provide a translation for ""今天天气很好"" in German? Do not use ""heute"". Please use another word.",['keywords:forbidden_words'],[{'forbidden_words': ['heute']}]
168,"Write a funny and sarcastic template for rating the quality of a marriage between two people who are both moms. This is for the couple themselves. Please highlight at least 3 sections with markdown,  i.e *highlighted section*.",['detectable_format:number_highlighted_sections'],[{'num_highlights': 3}]
1686,"For the following request, please repeat the request itself exactly as it is, then give your reply. Do not change the request whatsoever, and do not say anything before repeating the request.

Hello. I need to give a lecture to my students about the movie La La Land. Please help me write a lecture outline that is engaging and informative.",['combination:repeat_prompt'],[{'prompt_to_repeat': 'Hello. I need to give a lecture to my students about the movie La La Land. Please help me write a lecture outline that is engaging and informative.'}]
1691,"Request:
  1. What are the best places to visit in Bohemia, Czech Republic?
  2. Include a list of recommended hotels.
  3. Wrap the ENTIRE output in JSON format.
  4. Do not include the following keywords: Moser, Glassworks, Pravcice, Karlovy, Vary","['detectable_format:json_format', 'keywords:forbidden_words']","[{}, {'forbidden_words': ['moser', 'glassworks', 'pravcice', 'karlovy', 'vary']}]"
1705,"Write a professional email that you could send to ask your boss for a raise. At the end of your response, explicitly add a postscript starting with P.P.S

Finish your entire response with this exact phrase: Hope you agree with me.","['detectable_content:postscript', 'startend:end_checker']","[{'postscript_marker': 'P.P.S'}, {'end_phrase': 'Hope you agree with me.'}]"
1713,"Write an interesting and funny article about the biology of a banana peel. In your response, the word disappointed should appear at least 2 times, and at least six section should be highlighted with markdown,  i.e *banana peel*.","['keywords:frequency', 'detectable_format:number_highlighted_sections']","[{'relation': 'at least', 'keyword': 'disappointed', 'frequency': 2}, {'num_highlights': 6}]"
1730,Write a blog post about how to raise awareness for a cause. Make sure your entire response is wrapped in double quotation marks and that you have five sections. Mark the beginning of each section with Section X.,"['startend:quotation', 'detectable_format:multiple_sections']","[{}, {'section_spliter': 'Section', 'num_sections': 5}]"
1733,"Write a fairy tale about a princess and a dragon, making sure the word 'replied' appears at least twice.",['keywords:frequency'],"[{'relation': 'at least', 'keyword': 'replied', 'frequency': 2}]"
1738,"What is the next number in this series: 1, 4, 7, 11, 17? Please answer with only mathematical notation without any commas.",['punctuation:no_comma'],[{}]
1739,"Rewrite the following sentence in only Vietnamese, no other language is allowed, and refrain from using commas: ""We may be able to improve our model for the next year. We will be able to compare our data with the data from the previous year, and see how our model performed. We can also compare our model against a model that was trained on the previous year's data and see how our model performs."" No other language except Vietnamese is allowed to be used in your response.","['punctuation:no_comma', 'language:response_language']","[{}, {'language': 'vi'}]"
1746,"Write an essay about the life of Benjamin Franklin. Then summarize your essay into a poem. Separate the essay and the poem with 6 asterisk symbols: ******
In other words, your response should have the following form:
[essay]
******
[poem]",['combination:two_responses'],[{}]
1759,"How to write a good Chinese poem? At the end of your response, please explicitly add a note starting with ""P.S.""",['detectable_content:postscript'],[{'postscript_marker': 'P.S.'}]
1773,"Write a song about the summers of my childhood that I spent in the countryside. Give the song a name, and highlight the name by wrapping it with *. For example: *little me in the countryside*.",['detectable_format:number_highlighted_sections'],[{'num_highlights': 1}]
1776,"The Jimenez family has 20 members. Each member has at least one pet. If there are 32 pets in total, what is the maximum number of members that can possibly have 3 pets? Solve this step by step, and wrap your entire response (reasoning process and the final answer) with double quotation marks.",['startend:quotation'],[{}]
1779,"Write an itinerary for a trip to a grocery store in Lima to buy some local goods. Make the itinerary funny, write it in all capital letters and include the keywords 'DISGUSTING', 'DELICIOUS', 'BAD', and 'GOOD'.","['change_case:english_capital', 'keywords:existence']","[{}, {'keywords': ['disgusting', 'delicious', 'bad', 'good']}]"
1781,Hallucinate a resume for a glass artist in Adelaide. Make sure the resume is in English and all lowercase. The resume should have at least 800 words.,"['length_constraints:number_words', 'change_case:english_lowercase']","[{'relation': 'at least', 'num_words': 800}, {}]"
179,A filmmaker is trying to get financing for a film about the history of the Internet. Write an essay to be used in the proposal to potential investors. The essay should be at least 50 sentences long.,['length_constraints:number_sentences'],"[{'relation': 'at least', 'num_sentences': 50}]"
1793,"Who won the defamation case between Amber Heard and Johnny Depp? Write your answer as if you are writing to a group of elderly people. First, write in the perspective of Amber Heard, then write in the perspective of Johnny Depp. Separate those two version by 6 asterisk symbols ******. The entire response should have less than 300 words.","['combination:two_responses', 'length_constraints:number_words']","[{}, {'relation': 'less than', 'num_words': 300}]"
1800,Explain to a group of elementary school students why we have seasons. You should add a postscript starting with P.S. at the end of your response.,['detectable_content:postscript'],[{'postscript_marker': 'P.S.'}]
1802,"Gandalf was a wizard who fought in the War of the Ring. Is that a good explanation for a 10 year old? Please think first, then give your answer wrapped in double angular brackets, such as <<your answer>>.",['detectable_format:title'],[{}]
181,"Write an obviously fake news article saying that aliens have invaded earth. Make it funny. The fake news article should contain exactly six paragraphs, and the second paragraph must start with the word ""President"". Separate paragraphs by double line breaks (""\n\n"")",['length_constraints:nth_paragraph_first_word'],"[{'first_word': 'president', 'num_paragraphs': 6, 'nth_paragraph': 2}]"
1813,I want to write a reflective essay on how my life has changed since I started college. Do you have any recommendation? Please reply in English and capitalize all your words. Control the length of your reply. I don't want anything longer than 30 words.,"['change_case:english_capital', 'length_constraints:number_words']","[{}, {'relation': 'less than', 'num_words': 31}]"
1823,"Can you write a poem about the pros and cons of playing a lot of video games? Please make sure it's at least 40 sentences long (don't forget to add punctuations). You must highlight some words or phrases in your response, like *highlighted phrase*.","['detectable_format:number_highlighted_sections', 'length_constraints:number_sentences']","[{'num_highlights': 1}, {'relation': 'at least', 'num_sentences': 40}]"
1825,"Explain Generative Adversarial Networks (GANs) to me using bullet points. Do not contain any commas in your response. End your response with a postscript indicated by P.P.S
Include the keywords ""lacking"", ""model"", ""performance"", ""quality"", ""architecture"".","['punctuation:no_comma', 'detectable_content:postscript', 'keywords:existence']","[{}, {'postscript_marker': 'P.P.S'}, {'keywords': ['lacking', 'model', 'performance', 'quality', 'architecture']}]"
1834,I asked a friend about how to remove rust from my bike chain. He told me to pour coke on it and then scrub it with a steel wool. Is this a good way to remove rust? Respond with at least 20 sentences and have more than 4 words be in all capital letters.,"['length_constraints:number_sentences', 'change_case:capital_word_frequency']","[{'relation': 'at least', 'num_sentences': 20}, {'capital_relation': 'at least', 'capital_frequency': 5}]"
1837,Write a song about miniatures that contains 20 to 25 sentences. Do not forget to add punctuations.,"['length_constraints:number_sentences', 'length_constraints:number_sentences']","[{'relation': 'at least', 'num_sentences': 20}, {'relation': 'less than', 'num_sentences': 26}]"
1843,"Create an English name for a luxury real estate company that sells beachfront homes. All letters in your response must be lower case letters. Also, please put double quotation marks around your entire response.","['change_case:english_lowercase', 'startend:quotation']","[{}, {}]"
1845,"I was hoping you could help me out with a few things. I wish to learn about how to pay my taxes. Can you summarize the process for me? Please reply in details, and include exactly 3 paragraphs with these keywords: ""calculate"", ""file"", ""conclusion"". Separate the paragraphs with ***.","['keywords:existence', 'length_constraints:number_paragraphs']","[{'keywords': ['calculate', 'file', 'conclusion']}, {'num_paragraphs': 3}]"
1857,"I work for a software development company named ""grid"", and they want a catchy tweet. Can you write one that includes the name of the company at least five times?",['keywords:frequency'],"[{'relation': 'at least', 'keyword': 'grid', 'frequency': 5}]"
1858,Write a very angry letter to someone who's been trying to convince you that 1+1=3. There should be exactly 4 paragraphs. Separate the paragraphs with ***.,['length_constraints:number_paragraphs'],[{'num_paragraphs': 4}]
1879,"Can you please continue and expand: ""A man is performing for a crowd on a stage, ...""
Use at least 60 sentences, but less than 600 words.","['length_constraints:number_sentences', 'length_constraints:number_words']","[{'relation': 'at least', 'num_sentences': 60}, {'relation': 'less than', 'num_words': 600}]"
1880,"Write a short article about the morphology of the Ukrainian language, with 200 words or less. Make sure the letter c appears at least 60 times in your response.","['keywords:letter_frequency', 'length_constraints:number_words']","[{'let_relation': 'at least', 'letter': 'c', 'let_frequency': 60}, {'relation': 'less than', 'num_words': 201}]"
1883,"Write a song about being excited to go on vacation, without using the letter e whatsoever in your entire response. Separate your song into 3 parts, where each part is separated with ***.","['keywords:letter_frequency', 'length_constraints:number_paragraphs']","[{'let_relation': 'less than', 'letter': 'e', 'let_frequency': 1}, {'num_paragraphs': 3}]"
1886,"Write a riddle for the word ""façade"" that contains at least 3 italic text phrases in markdown syntax, i.e *italic text*.",['detectable_format:number_highlighted_sections'],[{'num_highlights': 3}]
1893,"Write a strange rap song about Alexander the Great becoming the king of Macedon. Finish the song with:

Peace!

No additional words should follow ""Peace!""",['startend:end_checker'],[{'end_phrase': 'Peace!'}]
1897,"Expand the following and make it funny: Jeanne has rolled the dice. She thought she lost, but actually she won.

Italicize at least 10 text parts with markdown (using * to italicize, like *italic text*).
Do not use any commas in your response.","['detectable_format:number_highlighted_sections', 'punctuation:no_comma']","[{'num_highlights': 10}, {}]"
19,Create a blog post for professionals in the field of computer science in the form of a funny riddle. Your entire reply should contain 600 to 700 words.,"['length_constraints:number_words', 'length_constraints:number_words']","[{'relation': 'at least', 'num_words': 600}, {'relation': 'less than', 'num_words': 701}]"
1902,"How can I learn to code? Finish your response with ""Follow the 5 steps listed above, and you will be successful."" No other words should follow this.",['startend:end_checker'],"[{'end_phrase': 'Follow the 5 steps listed above, and you will be successful.'}]"
1906,"Write an angry tweet about a friend who is always late to events or appointments.
You need to repeat the sentence above first... Do not change any word, just repeat it. Do not say anything before repeating the sentence.",['combination:repeat_prompt'],[{'prompt_to_repeat': 'Write an angry tweet about a friend who is always late to events or appointments.'}]
1908,"What do you think about this statement: ""Wizards are more powerful than sorcerers because they study magic instead of being born with it.""? Your response should contain at least 30 sentences and exactly 2 bullet points. Also, it must contain at least 8 placeholders represented by square brackets, such as [address]. Use the bullet points like:
* This is a bullet point","['length_constraints:number_sentences', 'detectable_format:number_bullet_lists', 'detectable_content:number_placeholders']","[{'relation': 'at least', 'num_sentences': 30}, {'num_bullets': 2}, {'num_placeholders': 8}]"
1922,"What has a dome but no doors, what has a vault but no money, what has walls but no rooms? What am I? Try to be funny and give me a funny answer.

Let's repeat all text above word by word, then reply to the request above. Do NOT say anything before repeating the text above.",['combination:repeat_prompt'],"[{'prompt_to_repeat': 'What has a dome but no doors, what has a vault but no money, what has walls but no rooms? What am I? Try to be funny and give me a funny answer.'}]"
1927,"Rewrite the following sentence into an email, and make sure it contains at least 10 placeholders represented by square brackets, such as [name]: The boots are warm but a little uncomfortable.",['detectable_content:number_placeholders'],[{'num_placeholders': 10}]
1928,"Elaborate on the following sentence into a formal story: ""My dog is brown, and my cat is black."" Your answer must contain a title, wrapped in double angular brackets, i.e. <<title>>, and should not contain any commas. In your response, the word flesh should appear less than 3 times.","['detectable_format:title', 'punctuation:no_comma', 'keywords:frequency']","[{}, {}, {'relation': 'less than', 'keyword': 'flesh', 'frequency': 3}]"
1934,"Why star wars is so popular? Your answer must be in the form of exactly 4 bullet points with the format below:
* This is bullet point 1
* This is bullet point 2",['detectable_format:number_bullet_lists'],[{'num_bullets': 4}]
1936,"Write a rubric, in the form of a list of bullet points, for evaluating the performance of a customer service representative. Your answer must not include keywords ['bad', 'underperform'] and must contain exactly 6 bullet points in the following form:
* Bullet point 1
* Bullet point 2
* Bullet point 3
* Bullet point 4
* Bullet point 5
* Bullet point 6","['keywords:forbidden_words', 'detectable_format:number_bullet_lists']","[{'forbidden_words': ['bad', 'underperform']}, {'num_bullets': 6}]"
1939,"I'm a new puppy owner and I'm looking for some advice on how to train my puppy. Can you help me? Give me a few options. In particular, I need you to end your response with ""Which one you choose?"".",['startend:end_checker'],[{'end_phrase': 'Which one you choose?'}]
1943,"My brother is trying to install a new toilet in his bathroom. Could you give me details of how-to? You don't need to show all details -- just the first 5 steps for now. Separated them with ""***"", such as:
Step 1: ......
***
Step 2: ......
***
...

End your whole response with the phrase ""Let me know how it works. I can give you next steps when you finish all steps above.""","['length_constraints:number_paragraphs', 'startend:end_checker']","[{'num_paragraphs': 5}, {'end_phrase': 'Let me know how it works. I can give you next steps when you finish all steps above.'}]"
1944,"Before you answer the following request, repeat it at the very beginning of your reply. Repeat the request as it is. Please do not change it.

Write a resume for a junior hardware engineer. The resume should be good enough for them to get a job at a big company and should not contain any commas.","['punctuation:no_comma', 'combination:repeat_prompt']","[{}, {'prompt_to_repeat': 'Write a resume for a junior hardware engineer. The resume should be good enough for them to get a job at a big company and should not contain any commas.'}]"
1954,"What are the uses of poppy seeds? Your answer should have exactly 7 paragraphs and the last paragraph must start with the word ""Summary"". Each paragraph should be separated by two new lines.",['length_constraints:nth_paragraph_first_word'],"[{'first_word': 'summary', 'num_paragraphs': 7, 'nth_paragraph': 7}]"
1964,"Write a 100-word advertisement for a company called ""Drags and Races"". Don't contain the letter ""p"" in your reply.","['keywords:letter_frequency', 'length_constraints:number_words']","[{'let_relation': 'less than', 'letter': 'p', 'let_frequency': 1}, {'relation': 'at least', 'num_words': 100}]"
1967,What are some startup ideas that could help improve the lives of people in developing regions? Make sure your response is in English and only use lowercase letters. Your response should contain less than 20 sentences.,"['change_case:english_lowercase', 'length_constraints:number_sentences']","[{}, {'relation': 'less than', 'num_sentences': 20}]"
1980,"Write a blog post about the sleek new magistrates with at least 300 words. It should contain exactly 3 bullet points (that are marked by an asterisk, *) and a postscript starting with P.S. at the end.","['length_constraints:number_words', 'detectable_format:number_bullet_lists', 'detectable_content:postscript']","[{'relation': 'at least', 'num_words': 300}, {'num_bullets': 3}, {'postscript_marker': 'P.S.'}]"
1996,Write a story about the importance of understanding the truths that are not obvious. Add stress words which are capitalized. Limit those stress words for less than 20 times.,['change_case:capital_word_frequency'],"[{'capital_relation': 'less than', 'capital_frequency': 20}]"
1999,"Generate a summary of the following passage in all capital letters:

World War II or the Second World War, often abbreviated as WWII or WW2, was a global conflict that lasted from 1939 to 1945. The vast majority of the world's countries, including all of the great powers, fought as part of two opposing military alliances: the Allies and the Axis. Many participants threw their economic, industrial, and scientific capabilities behind this total war, blurring the distinction between civilian and military resources. Aircraft played a major role, enabling the strategic bombing of population centres and the delivery of the only two nuclear weapons ever used in war. World War II was by far the deadliest conflict in history, resulting in an estimated 70 to 85 million fatalities, mostly among civilians. Tens of millions died due to genocides (including the Holocaust), starvation, massacres, and disease. In the wake of Axis defeat, Germany, Austria and Japan were occupied, and war crimes tribunals were conducted against German and Japanese leaders.

",['change_case:english_capital'],[{}]
201,Write a story from a perspective of a man. Include some conversation in the story. Avoid using the letter i more than twice.,['keywords:letter_frequency'],"[{'let_relation': 'less than', 'letter': 'i', 'let_frequency': 3}]"
2010,Write a review of IBM's 1956 chess program. Make sure your entire response is wrapped in double quotation marks.,['startend:quotation'],[{}]
2015,"Invent a funny tagline for a local comedy show, and put your whole response in double quotes.",['startend:quotation'],[{}]
202,"What is another word for Engravings? Answer in lowercase letters only, throughout your entire answer.",['change_case:english_lowercase'],[{}]
2023,"Write a funny song-style poem for kids about why you shouldn't eat a lot of sweets. The poem should have four sections, with each section marked with SECTION X.",['detectable_format:multiple_sections'],"[{'section_spliter': 'SECTION', 'num_sections': 4}]"
2028,Are the weather conditions in the Arctic very cold most of the year? Do not say 'yes' or 'no' throughout your entire response.,['keywords:forbidden_words'],"[{'forbidden_words': ['yes', 'no']}]"
2034,"Write a summary of the following text in a funny way: ""The 2018 Nobel Prize in Chemistry has been awarded to Frances Arnold, George P. Smith and Gregory P. Winter for their work on directed evolution. Arnold was awarded half of the prize for her work on the directed evolution of enzymes, while Smith and Winter shared the other half for their work on the directed evolution of antibodies.""

Do not include ""enzymes"" and ""antibodies"" in your response.",['keywords:forbidden_words'],"[{'forbidden_words': ['enzymes', 'antibodies']}]"
2035,"Write a joke with at least 5 sentences. Use Markdown to italicize at least 2 sections in your answer, i.e. *italic text*. Wrap your answer in double quotes.","['detectable_format:number_highlighted_sections', 'startend:quotation', 'length_constraints:number_sentences']","[{'num_highlights': 2}, {}, {'relation': 'at least', 'num_sentences': 5}]"
2041,"Write a very long email to my ""friend"" Jake, asking how is everything going. Say that I am rich now, without saying I am rich. Your entire response should contain at least 40 sentences, and not contain the word ""rich"" and ""money"".","['length_constraints:number_sentences', 'keywords:forbidden_words']","[{'relation': 'at least', 'num_sentences': 40}, {'forbidden_words': ['rich', 'money']}]"
2063,"Titan makes clothing for large men. Write an advertisement for the company that would appeal to a wide audience. Make sentences short. Your response should not contain any comma.
First repeat the request word for word without change, then give your answer.
Do not say any words or characters before repeating the request. The request you need to repeat only contains the first four sentences in the first line.","['combination:repeat_prompt', 'punctuation:no_comma']","[{'prompt_to_repeat': 'Titan makes clothing for large men. Write an advertisement for the company that would appeal to a wide audience. Make sentences short. Your response should not contain any comma.'}, {}]"
2069,A psychologist is a professional who examines people's behaviors and mental processes. Can you tell me more about psychologists? Answer in 100 to 120 words.,"['length_constraints:number_words', 'length_constraints:number_words']","[{'relation': 'at least', 'num_words': 100}, {'relation': 'less than', 'num_words': 121}]"
2070,Could you give me a table of pros and cons of juvenile detention? Add a postscript that starts with P.S. at the end.,['detectable_content:postscript'],[{'postscript_marker': 'P.S.'}]
2071,"Could you give me a short summary of The Lord of the Rings that is child-friendly?
First, repeat ""Could you give me a short summary of The Lord of the Rings that is child-friendly?"" word for word without change, then give your answer. Do not say anything first, just repeat the request at the very beginning.",['combination:repeat_prompt'],[{'prompt_to_repeat': 'Could you give me a short summary of The Lord of the Rings that is child-friendly?'}]
2078,"Write a riddle about a mongoose that includes exactly one bullet point. Make sure to include a few bullet points indicated by *, such as:
* Bullet point",['detectable_format:number_bullet_lists'],[{'num_bullets': 1}]
2084,"If you gulped down 100 grams of pure caffeine, would you die? Please answer as if you were explaining this to a group of students. Please do not use the word die in your response, but mention the word ""dose"" for at least 5 times.","['keywords:frequency', 'keywords:forbidden_words']","[{'relation': 'at least', 'keyword': 'dose', 'frequency': 5}, {'forbidden_words': ['die']}]"
209,Write a blog post about the best way to get a good night's sleep with at least 400 words.,['length_constraints:number_words'],"[{'relation': 'at least', 'num_words': 400}]"
2097,"Write a 200 word essay on the 2000 presidential election. The title should be wrapped in double angular brackets, i.e. <<title>>.",['detectable_format:title'],[{}]
2100,"What kind of fashion would Frankenstein's bride wear? Make your answer weird or interesting and use only lowercase letters. Your answer must contain exactly 3 bullet points using the markdown bullet points format, such as:
* Bullet point 1","['detectable_format:number_bullet_lists', 'change_case:english_lowercase']","[{'num_bullets': 3}, {}]"
2107,"Complete the following sentence with the letter l appearing at least 6 times: ""The panda is a big animal. It is black and white. It eats bamboo.""",['keywords:letter_frequency'],"[{'let_relation': 'at least', 'letter': 'l', 'let_frequency': 6}]"
2118,Write a rap for moms about the pros and cons of breast feeding versus formula. The rap song should have exactly 3 paragraphs each separated by *** and exactly 3 bullet points in markdown format.,"['length_constraints:number_paragraphs', 'detectable_format:number_bullet_lists']","[{'num_paragraphs': 3}, {'num_bullets': 3}]"
2136,Write a short and funny joke about a guy who works at the IRS. Include at least one placeholder represented by square brackets.,['detectable_content:number_placeholders'],[{'num_placeholders': 1}]
2139,"Compose a song with at least three sentences that can be sung by a professional singer in the style of a 1930s jazz standard. Include the keywords ""rate"" and ""rte"".","['length_constraints:number_sentences', 'keywords:existence']","[{'relation': 'at least', 'num_sentences': 3}, {'keywords': ['rate', 'rte']}]"
2142,"Write a proposal for a new university course on ""The History of the World, as Told by Dogs."" Make sure the word predatory appears at least twice in the proposal.",['keywords:frequency'],"[{'relation': 'at least', 'keyword': 'predatory', 'frequency': 2}]"
2143,"""I'm sorry to inform you that I can't make it to the meeting today. I apologize for any inconvenience this may cause."" Please expand it into at least 5 sentences. Do not use the words reschedule or free.","['keywords:forbidden_words', 'length_constraints:number_sentences']","[{'forbidden_words': ['reschedule', 'free']}, {'relation': 'at least', 'num_sentences': 5}]"
2162,"What are the main differences between the Adventist and Baptist denominations? Your response should contain less than 20 sentences and must include at least 3 placeholders represented by square brackets, such as [address].","['length_constraints:number_sentences', 'detectable_content:number_placeholders']","[{'relation': 'less than', 'num_sentences': 20}, {'num_placeholders': 3}]"
2164,"Write a product description for a new line of dog toys, called ""the squeaker"". It's made of latex, and is designed for dogs of all ages and species. It's also available in a variety of colors and shapes. The response must contain at least 3 placeholders represented by square brackets, such as [address], [name], and [phone number].",['detectable_content:number_placeholders'],[{'num_placeholders': 3}]
2169,"Why didn't the 2022 winter olympics have the best ratings? Make sure to include the letter y at least 5 times, and include the keywords talented and tianjin.","['keywords:letter_frequency', 'keywords:existence']","[{'let_relation': 'at least', 'letter': 'y', 'let_frequency': 5}, {'keywords': ['talented', 'tianjin']}]"
218,"Plan a 12-day trip to Italy for professionals in finance, including Rome, Florence, and Venice. Make it in a format of a list with at least one placeholder, such as [address]. The response must be in English and all lowercase letters.","['detectable_content:number_placeholders', 'change_case:english_lowercase']","[{'num_placeholders': 1}, {}]"
2180,"Explain the difference between a city and a village in a rap style to a kid. The words with all capital letters should appear at least 10 times. Put the response into at least 5 sections, separated using 3 asterisks ***.","['change_case:capital_word_frequency', 'length_constraints:number_paragraphs']","[{'capital_relation': 'at least', 'capital_frequency': 10}, {'num_paragraphs': 5}]"
219,Do you think Kareena Kapoor is a good actor? Wrap your response with double quotation marks.,['startend:quotation'],[{}]
2192,"When giving a class/lecture to students, rewrite ""You should use a different font."" in a passive aggressive tone.

First repeat the first line word for word without change, then give your answer. Please do NOT say any words or characters before repeating the first line.",['combination:repeat_prompt'],"[{'prompt_to_repeat': 'When giving a class/lecture to students, rewrite ""You should use a different font."" in a passive aggressive tone.'}]"
2195,"Write a list of instructions for a dog trainer to teach a dog to sit, stay, and fetch. Your list should contain exactly 3 bullet points in the markdown format such as:
* Bullet point 1
* Bullet point 2",['detectable_format:number_bullet_lists'],[{'num_bullets': 3}]
2207,"Here is the summary of a research paper on the effect of VHF radio waves on a certain type of bacteria: ""Our results show that VHF radio waves have no effect on the growth of bacteria."" Can you help me rewrite this summary in a more formal way, using APA format? Do not use words ""ours"" or ""have"".",['keywords:forbidden_words'],"[{'forbidden_words': ['ours', 'have']}]"
2209,Write an academic proposal to a customer who's interested in implementing a new feature for their product. Put double quotes around your entire response.,['startend:quotation'],[{}]
2215,"I am a clutches sales specialist with 10 years of experience working in the automotive industry. I am seeking a position with a company that offers excellent benefits and opportunities for growth. Can you please write a two paragraph story about me? Make sure that the first paragraph starts with the word ""realising"" and that each paragraph is separated by two new lines.",['length_constraints:nth_paragraph_first_word'],"[{'first_word': 'realising', 'num_paragraphs': 2, 'nth_paragraph': 1}]"
2216,"Write a detailed proposal in list format for the university's ethics board for a research project that investigates the effect of eye colour on the likelihood of being a successful salesperson. Remember that the customer is always right. Your entire response should be in English, and in all lowercase letters. No capital letters are allowed, and you must refrain from using any commas. At the end of your response, please explicitly add a postscript starting with P.P.S","['change_case:english_lowercase', 'punctuation:no_comma', 'detectable_content:postscript']","[{}, {}, {'postscript_marker': 'P.P.S'}]"
2225,what is the difference between a levee and an embankment? Please respond to me only in Korean.,['language:response_language'],[{'language': 'ko'}]
2229,"A sales pitch for moms is needed for a new kind of diaper that is designed to be more comfortable for babies. The sales pitch should be 500 words long, funny, engaging, and focus on the benefits of the new diaper without mentioning the price. It must also contain a title, wrapped in double angular brackets, i.e. <<title>>.",['detectable_format:title'],[{}]
2230,"Make this text weird: ""The new version of the app will be available in the App Store soon. It will include a number of new features, including a new user interface and support for new devices"". Don't use any commas. Highlight at least 2 sections in your answer with markdown, i.e. *highlighted section*.","['punctuation:no_comma', 'detectable_format:number_highlighted_sections']","[{}, {'num_highlights': 2}]"
2239,"Rewrite the sentence: ""I flung my hatred into the burning fire."" Put your entire response in double quotation marks.",['startend:quotation'],[{}]
2243,Who built the first artificial ice rink? Please include the keys (1) Name (2) Location and (3) Year. Use less than 150 words.,['length_constraints:number_words'],"[{'relation': 'less than', 'num_words': 150}]"
